SchoolName,StudentGroup,GradeLevel,TestAdministration,TestSubject,Percent Consistent Grade Level Knowledge And Above
Adams,All Students,All Grades,SBAC,ELA,81.2%
Adams,All Students,All Grades,SBAC,Math,80.5%
Adams,English Language Learners,All Grades,SBAC,Math,N<10
Adams,English Language Learners,All Grades,SBAC,ELA,N<10
Adams,Non-English Language Learners,All Grades,SBAC,ELA,85.0%
Adams,Non-English Language Learners,All Grades,SBAC,Math,83.6%
Adams,Low-Income,All Grades,SBAC,ELA,47.8%
Adams,Low-Income,All Grades,SBAC,Math,39.1%
Adams,Non-Low Income,All Grades,SBAC,ELA,87.3%
Adams,Non-Low Income,All Grades,SBAC,Math,88.1%
Adams,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,N<10
Adams,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,N<10
Adams,White,All Grades,SBAC,Math,89.0%
Adams,White,All Grades,SBAC,ELA,86.2%
Alki,All Students,All Grades,SBAC,ELA,76.1%
Alki,All Students,All Grades,SBAC,Math,73.9%
Alki,English Language Learners,All Grades,SBAC,ELA,N<10
Alki,English Language Learners,All Grades,SBAC,Math,N<10
Alki,Non-English Language Learners,All Grades,SBAC,Math,73.9%
Alki,Non-English Language Learners,All Grades,SBAC,ELA,77.6%
Alki,Low-Income,All Grades,SBAC,ELA,58.3%
Alki,Low-Income,All Grades,SBAC,Math,45.8%
Alki,Non-Low Income,All Grades,SBAC,ELA,79.8%
Alki,Non-Low Income,All Grades,SBAC,Math,79.8%
Alki,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,50.0%
Alki,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,58.3%
Alki,White,All Grades,SBAC,ELA,80.2%
Alki,White,All Grades,SBAC,Math,76.9%
Arbor Heights,All Students,All Grades,SBAC,ELA,57.9%
Arbor Heights,All Students,All Grades,SBAC,Math,50.0%
Arbor Heights,English Language Learners,All Grades,SBAC,Math,<23%
Arbor Heights,English Language Learners,All Grades,SBAC,ELA,<23%
Arbor Heights,Non-English Language Learners,All Grades,SBAC,ELA,60.7%
Arbor Heights,Non-English Language Learners,All Grades,SBAC,Math,52.4%
Arbor Heights,Low-Income,All Grades,SBAC,ELA,32.7%
Arbor Heights,Low-Income,All Grades,SBAC,Math,26.9%
Arbor Heights,Non-Low Income,All Grades,SBAC,ELA,64.7%
Arbor Heights,Non-Low Income,All Grades,SBAC,Math,56.3%
Arbor Heights,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,30.6%
Arbor Heights,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,19.4%
Arbor Heights,White,All Grades,SBAC,ELA,67.1%
Arbor Heights,White,All Grades,SBAC,Math,59.2%
B F Day,All Students,All Grades,SBAC,ELA,79.3%
B F Day,All Students,All Grades,SBAC,Math,70.0%
B F Day,English Language Learners,All Grades,SBAC,ELA,42.1%
B F Day,English Language Learners,All Grades,SBAC,Math,31.6%
B F Day,Non-English Language Learners,All Grades,SBAC,Math,74.1%
B F Day,Non-English Language Learners,All Grades,SBAC,ELA,83.3%
B F Day,Low-Income,All Grades,SBAC,Math,40.5%
B F Day,Low-Income,All Grades,SBAC,ELA,48.7%
B F Day,Non-Low Income,All Grades,SBAC,ELA,86.5%
B F Day,Non-Low Income,All Grades,SBAC,Math,76.9%
B F Day,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,56.3%
B F Day,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,37.5%
B F Day,White,All Grades,SBAC,ELA,83.3%
B F Day,White,All Grades,SBAC,Math,75.4%
Bailey Gatzert,All Students,All Grades,SBAC,Math,34.9%
